user_pseudo_id,cnt_user_engagement,cnt_level_start_quickplay,cnt_level_end_quickplay,cnt_level_complete_quickplay,cnt_level_reset_quickplay,cnt_post_score,cnt_spend_virtual_currency,cnt_ad_reward,cnt_challenge_a_friend,cnt_completed_5_levels,cnt_use_extra_steps
4E70CB9CF51205F056587DE7F4C49C53,18,1,1,0,0,2,1,0,0,0,0
E4BB66A18C35851A59539E29EBBC0247,3,1,1,1,0,1,0,0,0,0,0
BC68DA6C18C9634E924871C65BB339A1,5,2,1,1,0,1,0,0,0,0,0
2B86004D342C2EA67F3164372314F0C4,12,4,4,2,0,2,0,0,0,0,0
78161BB39BB13189ED9A6838A9AE45DE,14,15,1,0,11,0,0,0,0,0,0
D76E55DD6D27E0A117FC536C0DC67677,38,0,0,0,0,5,0,0,0,1,0
D30431EE9683DA4AD3EB2AE44109A735,27,6,6,3,0,3,2,0,0,0,2
ED5C290C8F82C28C033482D31299D8CD,3,0,0,0,0,0,0,0,0,0,0
7177907C1E492D178BAB61997705665F,9,2,2,1,0,1,0,0,0,0,0
5458D74B4B3B6A11DC98ABDC2F7AA0B1,7,2,1,0,0,0,0,0,0,0,0
9AFF07DCC4DC8276854BC916473FEDDA,89,38,26,6,9,6,4,0,0,0,4
EE64062E27E239F4B809BA79E3517516,23,9,0,0,7,3,0,0,0,0,0
DE8C865ECDECDD5CE81CB141AFD698AD,7,2,1,1,0,1,0,0,0,0,0
70F78D2A7E702F29576D41ECC594590A,9,3,2,0,0,0,0,0,0,0,0
0E2DCEC2008A0C245A689B35809C87E3,25,7,6,1,0,1,0,0,2,0,0
E659018965C45C6546EAC732D07DABB3,175,23,16,6,6,22,0,0,0,1,0
132DFC9DEB26981127A36DCB0349536D,2,1,1,1,0,1,0,0,0,0,0
C1C41F475F12D897EBB7CCD3A16729F2,12,2,0,0,1,1,0,0,0,0,0
65B3EEC3D19FE1B2C331B7103F3DAACE,30,16,5,4,9,4,5,0,0,0,5
0863E962E3F36AC52A9B0462463D9A2B,6,1,1,0,0,0,0,0,0,0,0
C37503360CCF542F01418ADF1BEC4EE4,9,4,3,3,1,3,0,0,0,0,0
7635A6A3D7FF46D849F921C8CC25A620,4,1,1,0,0,0,0,0,0,0,0
A921C5AB72246BFE8CA6CB19212387B7,4,1,0,0,0,0,0,0,0,0,0
36C32F82A22E7DC2DB04DA29BF71199F,2,1,0,0,0,0,0,0,0,0,0
FFAE8EBA6D6A0F70F80F8AB7BDD324E5,2,1,0,0,0,0,0,0,0,0,0
9BD663F05EA7660B40800C28E2BF59FC,58,16,16,3,0,3,0,0,0,0,0
396B43A65F1C9E66F23926B496D9E8C7,17,1,1,1,0,1,10,0,0,0,0
11FCE87078342891B101FE7F59E76347,10,4,1,0,1,0,1,0,0,0,0
A1927ED722EA16A3B82E7EE0FA22FF4F,60,47,6,5,42,5,0,0,0,0,0
F4959CFD58B29ABDECD09DAEF708DCF9,27,13,9,9,4,9,0,0,0,0,0
A321A68F8050F7262B29FDA89387AEC7,5,2,1,1,0,1,0,0,0,0,0
0D6A346C85BF606BE12F9A70FC20A7B7,22,2,1,1,0,7,0,0,0,0,0
83EB6E905B20079A153828894109C0FF,1,1,0,0,0,0,0,0,0,0,0
D1CE26407DE7F231D92F0EFB6FB1B6C6,5,3,0,0,2,0,0,0,0,0,0
BDEEAEF22E7549E96E4763DB95477113,5,1,1,1,0,1,0,0,0,0,0
